RUN	StarTest.Framework.StarSim	starsim	1624895277267	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1624895278710
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895306360	1624895307327	OK	 
GROUP	,GetStarUIMemberList	1624895306360	1624895307328	967	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895306357	1624895307479	OK	 
GROUP	,GetStarUIMemberList	1624895306357	1624895307480	1122	OK
REQUEST	,GetStarNote	GetStarNote	1624895307585	1624895307730	OK	 
GROUP	,GetStarNote	1624895307584	1624895307731	145	OK
REQUEST	,GetStarNote	GetStarNote	1624895307601	1624895307747	OK	 
GROUP	,GetStarNote	1624895307601	1624895307747	146	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895307601	1624895307978	OK	 
GROUP	,GetEpisodeOfCare	1624895307601	1624895307979	377	OK
REQUEST	,GetStarNote	GetStarNote	1624895307003	1624895308147	OK	 
GROUP	,GetStarNote	1624895307002	1624895308148	1144	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895307835	1624895308219	OK	 
GROUP	,GetEpisodeOfCare	1624895307835	1624895308220	384	OK
REQUEST	,GetStarNote	GetStarNote	1624895308297	1624895308676	OK	 
GROUP	,GetStarNote	1624895308296	1624895308677	379	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895308062	1624895308784	OK	 
GROUP	,GetStarUIMemberList	1624895308061	1624895308785	722	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895308334	1624895309130	OK	 
GROUP	,GetStarUIMemberDetail	1624895308333	1624895309131	796	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895308245	1624895309208	OK	 
GROUP	,GetStarUIMemberList	1624895308245	1624895309209	963	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895308481	1624895309353	OK	 
GROUP	,GetStarUIMemberDetail	1624895308481	1624895309353	872	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895308749	1624895309571	OK	 
GROUP	,GetEpisodeOfCare	1624895308748	1624895309571	822	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895308733	1624895309602	OK	 
GROUP	,GetEpisodeOfCare	1624895308733	1624895309603	869	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895309154	1624895309873	OK	 
GROUP	,GetEpisodeOfCare	1624895309153	1624895309874	719	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895308984	1624895310231	OK	 
GROUP	,GetStarUIMemberList	1624895308983	1624895310232	1247	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895310135	1624895310311	OK	 
GROUP	,ChatTranscript	1624895310134	1624895310311	176	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895309679	1624895310380	OK	 
GROUP	,GetEpisodeOfCare	1624895309678	1624895310380	701	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895309223	1624895310406	OK	 
GROUP	,GetStarUIMemberList	1624895309223	1624895310406	1183	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895310357	1624895310432	OK	 
GROUP	,ChatTranscript	1624895310357	1624895310433	75	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895309790	1624895310480	OK	 
